"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
2366191201,"EUN1",13,1,119,157,89,8,2,121,238,67,86,523
2366232117,"EUN1",13,1,245,82,25,202,38,202,82,238,157,119
2366269152,"EUN1",13,0,119,157,89,875,111,875,89,157,64,523
2366815513,"EUN1",13,0,24,523,-1,82,157,875,69,28,35,145
2366817000,"EUN1",13,1,238,53,111,86,24,523,84,157,25,82
2366830298,"EUN1",13,0,24,90,523,25,266,58,498,67,111,77
2366839118,"EUN1",13,0,25,122,523,157,131,875,55,90,53,111
2367444389,"EUN1",13,1,25,266,105,24,875,523,131,25,245,8
2373744061,"EUN1",13,1,875,111,75,60,38,119,105,157,67,245
2373789208,"EUN1",13,1,131,86,875,2,21,111,875,11,22,131
2381626634,"EUN1",13,1,523,122,101,38,555,11,119,16,69,82
2382241595,"EUN1",13,1,8,11,105,53,523,131,53,17,31,121
2384457882,"EUN1",13,0,420,60,38,235,523,875,61,11,350,111
2384546963,"EUN1",13,1,523,25,122,143,38,157,875,11,53,82
2385571442,"EUN1",13,1,145,119,157,238,17,157,350,131,122,235
2385576384,"EUN1",13,0,64,555,35,51,69,235,238,131,119,11
2387796899,"EUN1",13,0,51,45,412,11,89,157,119,150,122,523
2388249410,"EUN1",13,1,23,35,157,122,105,119,11,67,122,157
2388272651,"EUN1",13,1,157,67,122,64,875,122,105,238,157,119
2388287643,"EUN1",13,1,157,122,2,119,101,84,157,875,122,245
2388315867,"EUN1",13,1,119,157,246,122,53,157,122,51,141,131
2388334841,"EUN1",13,1,51,11,119,122,238,246,64,82,51,119
2389249546,"EUN1",13,1,39,157,122,111,34,38,245,266,523,25
2366930546,"EUN1",13,1,131,235,25,246,420,111,122,523,875,245
2314024833,"EUN1",13,1,67,11,238,114,122,111,24,35,53,56
2338129290,"EUN1",13,1,35,523,64,421,51,523,25,86,8,51
2353867513,"EUN1",13,1,8,157,245,202,53,121,53,111,74,157
2389254222,"EUN1",13,0,245,23,235,122,38,11,267,25,122,131
2389359175,"EUN1",13,1,38,516,523,117,39,523,516,38,122,875
2389901666,"EUN1",13,1,523,119,25,111,875,25,240,131,875,122
2390195664,"EUN1",13,1,69,111,122,82,235,38,-1,122,25,34
2390221985,"EUN1",13,0,36,111,10,412,517,11,122,142,875,245
2390287850,"EUN1",13,1,245,11,50,523,38,131,122,875,245,235
2390613889,"EUN1",13,0,82,90,38,412,69,55,235,64,122,157
2393161008,"EUN1",13,0,238,31,875,523,25,245,875,33,350,-1
2393520218,"EUN1",13,1,122,235,157,516,114,69,8,28,523,25
2393526508,"EUN1",13,1,131,75,236,25,238,119,157,17,412,11
2393573611,"EUN1",13,1,89,56,420,412,67,11,119,25,75,35
2393748784,"EUN1",13,1,119,8,523,122,-1,53,266,105,55,38
2398188030,"EUN1",13,0,16,38,111,523,89,38,51,54,875,121
2398860523,"EUN1",13,1,23,30,38,245,111,8,875,157,89,111
2398877547,"EUN1",13,1,131,238,24,23,523,523,122,350,82,266
2398912979,"EUN1",13,1,246,53,60,23,154,89,238,60,90,51
2398935664,"EUN1",13,1,30,38,23,235,28,75,111,235,89,25
2398980113,"EUN1",13,0,141,38,154,111,-1,51,131,89,23,517
2399549960,"EUN1",13,1,53,875,64,157,412,84,33,119,53,875
2399561209,"EUN1",13,1,105,141,122,11,51,67,11,238,119,35
2399813237,"EUN1",13,0,111,38,45,142,89,111,-1,157,60,11
2399850059,"EUN1",13,0,39,23,111,121,50,113,82,35,523,122
2399873230,"EUN1",13,1,35,111,875,516,51,157,8,23,38,44
2399877481,"EUN1",13,1,266,119,154,38,25,555,246,54,523,516
