"gameID","platformID","seasonID","Winner","C1","C1S1","C1S2","C2","C2S1","C2S2","C3","C3S1","C3S2","C4","C4S1","C4S2","C5","C5S1","C5S2","C6","C6S1","C6S2","C7","C7S1","C7S2","C8","C8S1","C8S2","C9","C9S1","C9S2","C10","C10S1","C10S2"
323082850,"OC1",13,0,523,4,1,54,12,4,43,3,4,64,4,11,42,4,12,104,11,14,22,4,7,26,12,4,517,12,4,235,21,4
322630728,"OC1",13,1,432,4,1,98,4,12,427,4,21,106,4,11,523,4,7,412,14,4,76,4,11,7,12,4,22,7,4,6,4,12
322596085,"OC1",13,1,22,7,4,68,4,14,60,4,11,62,4,12,201,4,14,96,4,12,64,11,4,39,4,12,111,14,4,4,12,4
278305029,"OC1",13,1,54,14,4,21,4,7,64,11,4,91,4,14,17,4,14,131,4,14,51,4,7,63,4,14,29,11,4,45,21,4
278300002,"OC1",13,1,240,4,12,202,7,4,107,4,11,53,4,14,45,4,12,36,12,4,134,14,4,222,4,7,16,4,21,64,4,11
278272604,"OC1",13,0,19,11,4,115,4,12,74,4,12,51,4,7,16,4,21,131,14,4,24,12,4,222,4,7,56,4,11,9,4,14
276356055,"OC1",13,1,23,14,4,7,4,14,60,4,11,51,4,7,63,4,14,92,12,4,25,14,4,154,11,4,81,4,7,131,14,4
276263846,"OC1",13,1,89,3,4,222,4,7,105,14,4,420,12,4,86,11,4,18,4,7,111,4,14,1,4,14,28,4,11,17,4,14
276239846,"OC1",13,1,412,14,4,236,4,7,86,14,4,55,14,4,104,4,11,222,4,7,63,4,14,122,6,4,33,4,11,1,4,12
276243800,"OC1",13,0,201,14,4,106,4,11,114,4,12,21,4,7,26,4,14,222,4,7,63,4,14,64,11,4,420,12,4,127,4,12
276230539,"OC1",13,0,222,4,7,25,4,14,106,4,11,83,4,12,245,4,14,240,4,12,26,4,3,67,4,7,16,21,4,11,4,11
276154283,"OC1",13,1,53,4,14,31,4,12,35,11,4,91,4,14,145,4,7,86,14,4,131,14,4,222,4,7,421,11,4,7,4,14
275809396,"OC1",13,1,51,7,4,266,4,12,103,4,14,121,11,4,201,4,14,55,4,14,11,11,4,236,7,4,101,14,4,19,4,21
275410480,"OC1",13,1,222,4,7,25,4,14,23,4,14,11,11,4,134,14,4,9,7,4,85,4,12,19,11,4,90,4,12,67,4,7
275394665,"OC1",13,1,267,4,14,103,14,4,23,14,4,245,4,11,523,4,7,67,4,7,69,4,14,266,4,14,254,4,11,16,4,14
275356450,"OC1",13,0,25,4,14,13,4,12,22,7,4,106,4,11,24,12,4,75,4,12,55,4,14,117,14,4,51,7,4,11,4,11
275016072,"OC1",13,1,134,4,14,48,4,11,19,4,12,81,7,4,9,14,4,104,4,11,83,12,4,111,14,4,51,7,4,245,4,14
275006014,"OC1",13,1,497,14,4,498,4,7,16,21,4,90,14,4,254,4,11,203,4,11,875,12,4,201,7,4,67,4,7,246,14,4
274979803,"OC1",13,1,24,4,11,67,7,4,90,14,4,75,4,12,412,14,4,122,12,4,39,4,12,48,4,11,89,4,14,498,7,4
274892283,"OC1",13,1,111,4,14,67,4,7,101,4,21,254,4,11,19,4,21,121,4,11,145,4,7,223,4,14,106,12,4,45,12,4
274877601,"OC1",13,0,19,4,21,48,4,11,14,12,4,22,21,4,16,4,3,122,4,6,43,4,3,113,4,11,37,4,14,498,4,7
274765757,"OC1",13,0,5,11,4,37,4,14,29,4,7,122,12,4,161,21,4,55,4,14,106,4,11,516,12,4,134,4,7,235,14,4
274760037,"OC1",13,0,55,4,14,48,4,11,54,14,4,523,7,4,86,12,4,236,7,4,25,14,4,35,14,11,67,4,12,246,14,4
274693543,"OC1",13,1,157,14,4,83,4,12,19,11,4,22,4,7,43,4,14,8,4,14,48,4,11,63,4,14,133,4,14,67,4,7
274516418,"OC1",13,0,78,12,4,203,11,4,105,14,4,523,7,4,50,14,4,48,4,11,63,4,14,238,14,4,517,12,4,202,7,4
274113682,"OC1",13,0,142,4,21,122,4,14,51,7,4,19,4,11,235,14,4,48,4,11,112,4,12,222,4,7,238,4,14,267,4,3
274110239,"OC1",13,1,106,4,11,4,14,4,99,4,14,51,4,7,23,14,4,236,4,7,107,11,4,157,4,3,8,14,4,201,4,14
274016502,"OC1",13,1,48,4,11,69,4,14,10,4,12,99,4,14,523,7,4,86,4,14,16,4,21,21,7,4,121,4,11,157,4,14
274010938,"OC1",13,1,51,7,4,201,4,14,48,12,4,64,11,4,62,12,4,141,11,4,235,4,14,44,3,4,131,14,4,18,4,7
273892906,"OC1",13,0,54,14,4,19,4,11,223,4,12,25,14,4,21,4,7,22,7,4,518,4,12,40,14,4,48,4,11,90,14,4
273901083,"OC1",13,1,91,14,4,523,4,7,75,4,12,35,14,11,412,14,4,201,4,14,22,7,4,54,4,12,120,6,11,268,21,4
273833183,"OC1",13,1,157,14,4,25,14,4,48,4,11,18,4,7,23,14,4,86,4,6,412,4,14,51,4,7,266,4,12,35,14,11
273830501,"OC1",13,0,105,4,14,875,12,4,81,7,4,111,4,14,59,11,4,412,4,14,63,14,4,48,4,11,236,7,4,10,12,4
273739979,"OC1",13,0,238,4,14,74,4,14,201,4,14,236,4,7,64,4,11,45,12,4,141,11,4,516,4,12,119,7,4,235,4,3
273735959,"OC1",13,1,134,14,4,106,11,4,161,21,4,67,7,4,72,12,4,45,4,21,117,14,4,81,4,7,75,12,4,254,4,11
273765239,"OC1",13,1,235,7,4,157,4,14,555,4,14,245,4,11,17,4,12,22,4,7,83,4,12,7,14,4,201,4,14,154,11,4
273677590,"OC1",13,1,86,4,12,245,11,4,201,4,14,235,4,7,56,4,14,21,4,14,82,4,12,55,4,14,67,7,4,141,11,4
273672172,"OC1",13,0,245,14,4,20,4,11,523,4,7,16,3,4,39,4,14,131,14,4,5,11,4,17,12,4,22,7,4,201,4,14
273572836,"OC1",13,0,254,4,11,21,7,4,117,4,14,122,6,4,101,4,14,98,12,4,60,4,11,53,14,4,91,4,14,235,4,7
273570747,"OC1",13,0,427,4,11,67,7,4,201,4,14,54,4,12,157,14,4,75,4,12,498,7,4,61,4,3,245,4,11,89,14,4
268981813,"OC1",13,1,201,4,14,202,7,4,29,4,11,223,4,12,245,14,4,11,11,4,420,4,12,89,4,14,523,4,7,3,4,14
268990416,"OC1",13,0,111,4,14,103,4,14,68,12,4,236,4,7,77,11,4,245,12,4,201,4,3,18,7,4,11,4,11,75,12,4
268926509,"OC1",13,1,131,14,4,2,6,11,201,4,14,523,7,4,114,12,4,51,4,7,82,4,12,254,4,11,235,3,4,105,4,14
268934227,"OC1",13,1,22,7,4,121,4,11,58,4,14,201,4,14,17,14,4,37,14,4,32,4,11,25,14,4,67,7,4,36,12,4
268923180,"OC1",13,1,238,4,14,82,12,4,9,4,14,106,4,11,202,7,4,235,3,4,11,11,4,83,4,12,13,4,12,429,7,4
268922678,"OC1",13,1,11,11,4,45,4,12,122,6,4,555,14,4,18,7,4,30,11,4,105,4,14,82,12,4,22,7,4,111,4,14
268921080,"OC1",13,1,56,4,11,420,12,4,145,4,7,111,14,4,91,4,14,121,4,11,27,14,6,16,4,3,133,4,14,54,4,14
268902432,"OC1",13,0,141,11,4,21,21,4,523,7,4,75,4,12,111,4,14,86,12,4,51,7,4,89,14,4,131,14,4,24,11,4
268900892,"OC1",13,0,21,4,7,37,14,4,54,12,4,2,4,11,103,14,4,201,4,14,523,7,4,98,4,12,61,4,14,28,4,11
268899021,"OC1",13,1,45,4,12,98,12,4,21,4,7,99,14,4,421,4,11,13,4,12,92,14,4,412,4,14,107,4,11,145,7,4
268888054,"OC1",13,1,64,4,11,23,14,4,18,4,7,235,3,4,62,14,4,22,7,4,76,4,12,141,4,11,84,4,14,201,4,14
268887459,"OC1",13,1,41,4,12,20,11,4,555,14,4,157,14,4,51,7,4,202,7,4,245,4,11,18,4,7,122,6,4,142,14,4
268551282,"OC1",13,0,141,11,4,53,4,21,22,7,4,150,4,14,50,4,14,222,7,4,555,14,4,115,4,21,59,4,11,23,14,4
268539254,"OC1",13,1,201,4,14,67,7,4,58,12,4,19,11,4,68,4,14,157,14,4,13,12,4,245,4,11,235,14,4,81,7,4
268536971,"OC1",13,1,555,14,4,21,4,7,45,4,12,82,4,12,76,4,11,18,4,7,106,4,12,50,14,4,141,4,11,238,14,4
268530282,"OC1",13,1,202,4,7,19,11,4,99,4,21,82,12,4,555,4,14,105,4,14,121,11,4,37,4,3,51,7,4,7,12,4
268508507,"OC1",13,1,157,14,4,13,4,12,22,4,7,99,4,3,106,4,11,236,4,7,39,14,4,266,4,12,111,4,3,141,4,11
264270504,"OC1",13,1,86,4,14,51,4,7,25,14,4,32,4,11,90,12,4,517,14,4,164,4,12,201,4,14,145,4,7,60,11,4
264256886,"OC1",13,0,119,7,4,122,4,12,4,4,14,24,4,11,235,4,14,51,4,7,57,4,12,105,14,4,13,14,4,106,4,11
264254354,"OC1",13,0,164,4,12,235,4,14,59,4,11,99,4,14,22,4,7,23,14,4,53,14,4,61,14,4,67,7,4,113,4,11
264252741,"OC1",13,0,235,7,4,92,4,12,28,4,11,61,14,4,412,14,4,238,4,14,89,14,4,106,4,11,51,4,7,86,4,14
264227949,"OC1",13,0,157,14,4,99,4,14,222,4,7,107,11,4,24,11,4,105,4,14,254,11,4,54,4,12,50,4,14,236,7,4
264234223,"OC1",13,1,201,4,14,86,4,12,36,4,11,99,14,4,29,4,7,267,14,4,81,7,4,122,12,4,48,11,4,245,4,14
264223952,"OC1",13,0,61,4,14,39,4,12,106,4,11,350,4,3,51,7,4,59,11,4,86,14,4,238,14,4,25,14,4,202,4,7
264220615,"OC1",13,0,69,14,4,51,4,7,86,4,12,26,4,14,106,4,11,103,14,4,90,4,14,59,11,4,79,14,4,145,4,7
264208438,"OC1",13,1,8,4,12,91,14,4,44,3,4,21,4,7,106,4,11,498,4,7,157,14,4,236,4,14,555,14,4,20,4,11
264205850,"OC1",13,0,13,12,4,28,4,11,516,3,4,114,14,4,21,4,7,106,4,11,111,12,4,246,14,4,99,14,4,67,4,7
264211298,"OC1",13,1,246,4,14,222,4,7,350,14,3,80,4,12,76,11,4,236,4,7,53,14,4,64,11,4,164,12,4,105,4,14
264200150,"OC1",13,0,81,7,4,9,14,4,99,4,14,84,14,4,11,11,4,53,4,3,51,7,4,2,4,11,555,14,4,150,4,11
263897625,"OC1",13,0,3,4,12,10,4,12,412,14,4,222,4,7,121,4,11,133,14,4,51,4,7,18,1,4,63,14,4,106,4,11
263896342,"OC1",13,0,105,4,14,75,12,4,99,4,14,245,11,4,51,4,12,59,11,4,85,12,4,111,14,4,103,4,14,235,7,4
263862097,"OC1",13,1,44,14,4,21,7,4,516,12,4,56,11,4,105,4,14,25,4,14,60,4,11,238,4,14,51,7,4,24,12,4
263870161,"OC1",13,0,24,11,4,111,3,4,517,4,14,145,7,4,39,12,4,120,14,11,67,7,4,103,4,14,58,12,4,201,4,14
263749573,"OC1",13,1,36,4,11,51,4,7,105,4,14,63,4,14,48,4,12,33,11,4,236,7,4,54,4,14,84,4,12,518,4,12
263724629,"OC1",13,0,245,11,4,103,14,4,161,14,4,67,4,7,58,12,4,107,11,4,21,7,4,235,14,4,105,4,14,86,12,4
263721970,"OC1",13,1,202,4,7,131,4,14,235,14,4,31,4,12,106,4,11,7,4,14,84,14,4,412,14,4,22,7,4,20,14,11
263605956,"OC1",13,0,222,4,7,25,14,4,5,11,4,13,4,12,84,4,14,103,14,4,98,12,4,51,7,4,235,14,4,254,4,11
263615779,"OC1",13,0,105,4,14,89,4,3,222,7,4,86,12,4,59,11,4,412,4,14,99,4,21,122,4,12,51,7,4,245,11,4
263557356,"OC1",13,1,236,4,7,45,4,12,141,11,4,53,14,4,58,12,4,59,4,11,235,7,4,8,4,12,89,4,14,142,4,14
263444894,"OC1",13,0,7,14,4,81,4,7,99,14,4,141,4,11,24,4,12,51,4,7,105,4,14,86,4,12,254,11,4,412,4,21
263269795,"OC1",13,1,141,11,4,86,4,12,55,4,14,412,4,14,222,4,7,59,4,11,22,4,21,235,7,4,75,12,4,105,14,4
263278514,"OC1",13,1,89,14,4,150,4,12,157,4,14,18,7,4,141,11,4,35,11,14,111,3,14,24,12,4,145,4,7,246,14,4
263202906,"OC1",13,0,13,4,14,12,4,14,17,14,4,141,4,11,222,7,4,58,4,12,235,14,4,74,12,4,246,11,4,84,4,14
263197241,"OC1",13,1,133,14,4,24,11,4,22,4,7,235,14,4,101,21,4,145,4,7,84,4,12,412,3,4,105,4,14,32,11,4
262873609,"OC1",13,0,22,4,7,25,14,4,56,11,4,131,4,14,266,12,4,19,11,4,99,4,14,105,4,14,11,3,14,145,7,4
262761197,"OC1",13,0,157,4,14,64,11,4,150,4,14,117,14,4,29,7,4,54,12,4,40,4,14,222,7,4,62,14,4,19,4,11
262759091,"OC1",13,1,498,7,4,37,14,4,518,4,14,36,11,4,59,12,4,75,4,12,64,11,4,105,4,14,67,4,7,111,14,4
262746680,"OC1",13,0,35,14,11,37,4,14,51,7,4,10,4,12,24,12,4,99,4,14,58,12,4,105,4,14,5,4,11,22,7,4
262729619,"OC1",13,1,13,4,12,54,4,12,89,14,4,56,4,11,22,4,7,45,14,4,64,11,4,82,12,4,84,4,14,145,1,4
262728658,"OC1",13,1,30,4,11,18,4,7,238,4,14,134,4,14,89,3,4,2,11,4,99,14,4,51,4,7,98,4,12,74,4,12
