"gameID","platformID","seasonID","Winner","ban1","ban2","ban3","ban4","ban5","ban6","ban7","ban8","ban9","ban10"
268530282,"OC1",13,1,523,53,122,157,245,35,64,157,25,236
268508507,"OC1",13,1,82,64,91,235,523,131,555,25,8,27
264270504,"OC1",13,1,245,11,157,67,238,157,246,28,80,64
264256886,"OC1",13,0,555,-1,238,58,89,64,53,35,86,80
264254354,"OC1",13,0,555,145,122,64,84,157,13,111,89,11
264252741,"OC1",13,0,53,122,111,157,35,133,64,25,84,53
264227949,"OC1",13,0,11,22,53,75,18,25,103,119,58,11
264234223,"OC1",13,1,238,89,64,121,266,53,517,80,235,8
264223952,"OC1",13,0,157,63,235,64,53,24,-1,89,80,235
264220615,"OC1",13,0,64,7,53,240,25,25,121,10,105,11
264208438,"OC1",13,1,7,64,235,28,420,77,82,238,119,53
264205850,"OC1",13,0,11,8,157,555,86,84,145,64,122,80
264211298,"OC1",13,1,11,119,24,6,-1,45,15,122,245,25
264200150,"OC1",13,0,86,64,412,131,157,235,238,114,63,10
263897625,"OC1",13,0,25,23,238,89,157,54,64,238,143,90
263896342,"OC1",13,0,89,107,64,10,145,89,84,58,122,2
263862097,"OC1",13,1,39,107,555,64,103,90,235,555,53,58
263870161,"OC1",13,0,86,245,53,90,89,555,157,235,25,238
263749573,"OC1",13,1,8,82,-1,64,11,91,122,75,111,143
263724629,"OC1",13,0,51,53,238,36,157,25,89,24,64,11
263721970,"OC1",13,1,24,64,-1,111,80,518,82,19,53,157
263605956,"OC1",13,0,99,36,122,89,23,555,64,80,157,82
263615779,"OC1",13,0,64,119,24,235,11,11,114,555,157,36
263557356,"OC1",13,1,266,119,238,84,64,82,555,114,64,246
263444894,"OC1",13,0,11,235,122,39,245,122,2,555,64,53
263269795,"OC1",13,1,53,122,8,54,35,497,51,10,64,122
263278514,"OC1",13,1,201,45,114,25,11,28,238,63,420,202
263202906,"OC1",13,0,53,63,5,105,122,157,111,28,64,86
263197241,"OC1",13,1,498,55,122,35,53,122,51,141,64,81
262873609,"OC1",13,0,102,51,555,63,122,35,64,17,157,54
262761197,"OC1",13,0,350,114,35,53,498,53,22,122,51,103
262759091,"OC1",13,1,350,11,120,420,157,8,25,21,122,35
262746680,"OC1",13,0,157,555,420,53,82,157,8,141,25,122
262729619,"OC1",13,1,8,-1,75,518,105,122,51,157,104,17
262728658,"OC1",13,1,21,24,157,111,28,61,122,222,23,53
262730836,"OC1",13,1,36,35,24,45,238,122,53,25,11,157
262719578,"OC1",13,1,67,-1,51,8,420,84,157,35,555,24
262717066,"OC1",13,0,10,122,202,33,8,105,245,157,41,24
262704426,"OC1",13,0,8,122,10,245,51,145,201,-1,24,25
262700563,"OC1",13,1,157,17,35,498,74,122,54,53,157,25
262688003,"OC1",13,1,22,11,238,53,114,238,157,122,10,36
262397835,"OC1",13,1,75,141,25,-1,63,245,25,8,53,10
262396801,"OC1",13,1,23,122,63,8,-1,67,7,39,54,8
365695590,"OC1",13,0,104,-1,39,89,76,114,350,38,203,1
333469151,"OC1",13,1,412,107,105,51,58,51,203,122,119,28
326827461,"OC1",13,0,76,24,121,432,203,432,126,164,76,60
325330896,"OC1",13,0,432,-1,121,106,245,412,58,432,76,127
276274834,"OC1",13,0,235,53,11,82,131,60,523,555,516,245
274018529,"OC1",13,1,141,122,875,89,75,51,142,64,523,17
268914220,"OC1",13,0,555,36,16,84,21,523,157,122,-1,240
264213009,"OC1",13,1,25,235,54,67,23,-1,41,64,53,89
262747230,"OC1",13,1,67,58,64,157,82,64,75,53,35,238
